Location.Description,number
,1
ABANDONED BUILDING,2
AIRCRAFT,3
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,4
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,5
AIRPORT EXTERIOR - NON-SECURE AREA,6
AIRPORT EXTERIOR - SECURE AREA,7
AIRPORT PARKING LOT,8
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,9
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,10
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,11
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,12
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,13
AIRPORT TRANSPORTATION SYSTEM (ATS),14
AIRPORT VENDING ESTABLISHMENT,15
AIRPORT/AIRCRAFT,16
ALLEY,17
ANIMAL HOSPITAL,18
APARTMENT,19
APPLIANCE STORE,20
ATHLETIC CLUB,21
ATM (AUTOMATIC TELLER MACHINE),22
AUTO,23
AUTO / BOAT / RV DEALERSHIP,24
BANK,25
BANQUET HALL,26
BAR OR TAVERN,27
BARBER SHOP/BEAUTY SALON,28
BARBERSHOP,29
BASEMENT,30
BOAT/WATERCRAFT,31
BOWLING ALLEY,32
BRIDGE,33
CAR WASH,34
CEMETARY,35
CHA APARTMENT,36
CHA BREEZEWAY,37
CHA ELEVATOR,38
CHA GROUNDS,39
CHA HALLWAY,40
CHA HALLWAY/STAIRWELL/ELEVATOR,41
CHA LOBBY,42
CHA PARKING LOT,43
CHA PARKING LOT/GROUNDS,44
CHA PLAY LOT,45
CHA STAIRWELL,46
CHURCH,47
CHURCH PROPERTY,48
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,49
CLEANERS/LAUNDROMAT,50
CLEANING STORE,51
CLUB,52
COACH HOUSE,53
COIN OPERATED MACHINE,54
COLLEGE/UNIVERSITY GROUNDS,55
COLLEGE/UNIVERSITY RESIDENCE HALL,56
COMMERCIAL / BUSINESS OFFICE,57
CONSTRUCTION SITE,58
CONVENIENCE STORE,59
COUNTY JAIL,60
CREDIT UNION,61
"CTA ""L"" PLATFORM",62
"CTA ""L"" TRAIN",63
CTA BUS,64
CTA BUS STOP,65
CTA GARAGE / OTHER PROPERTY,66
CTA PLATFORM,67
CTA PROPERTY,68
CTA STATION,69
CTA TRACKS - RIGHT OF WAY,70
CTA TRAIN,71
CURRENCY EXCHANGE,72
DAY CARE CENTER,73
DELIVERY TRUCK,74
DEPARTMENT STORE,75
DRIVEWAY,76
DRIVEWAY - RESIDENTIAL,77
DRUG STORE,78
DUMPSTER,79
ELEVATOR,80
EXPRESSWAY EMBANKMENT,81
FACTORY,82
FACTORY/MANUFACTURING BUILDING,83
FARM,84
FEDERAL BUILDING,85
FIRE STATION,86
FOREST PRESERVE,87
FUNERAL PARLOR,88
GANGWAY,89
GARAGE,90
GARAGE/AUTO REPAIR,91
GAS STATION,92
GAS STATION DRIVE/PROP.,93
GOVERNMENT BUILDING,94
GOVERNMENT BUILDING/PROPERTY,95
GROCERY FOOD STORE,96
HALLWAY,97
HIGHWAY/EXPRESSWAY,98
HORSE STABLE,99
HOSPITAL,100
HOSPITAL BUILDING/GROUNDS,101
HOTEL,102
HOTEL/MOTEL,103
HOUSE,104
JAIL / LOCK-UP FACILITY,105
JUNK YARD/GARBAGE DUMP,106
KENNEL,107
LAGOON,108
LAKE,109
LAKEFRONT/WATERFRONT/RIVERBANK,110
LAUNDRY ROOM,111
LIBRARY,112
LIQUOR STORE,113
LIVERY AUTO,114
LIVERY STAND OFFICE,115
LOADING DOCK,116
MEDICAL/DENTAL OFFICE,117
MOTEL,118
MOVIE HOUSE/THEATER,119
NEWSSTAND,120
NURSING HOME,121
NURSING HOME/RETIREMENT HOME,122
OFFICE,123
OTHER,124
OTHER COMMERCIAL TRANSPORTATION,125
OTHER RAILROAD PROP / TRAIN DEPOT,126
PARK PROPERTY,127
PARKING LOT,128
PARKING LOT/GARAGE(NON.RESID.),129
PAWN SHOP,130
POLICE FACILITY/VEH PARKING LOT,131
POOL ROOM,132
POOLROOM,133
PORCH,134
PRAIRIE,135
PUBLIC GRAMMAR SCHOOL,136
PUBLIC HIGH SCHOOL,137
RAILROAD PROPERTY,138
RESIDENCE,139
RESIDENCE-GARAGE,140
RESIDENCE PORCH/HALLWAY,141
RESIDENTIAL YARD (FRONT/BACK),142
RESTAURANT,143
RETAIL STORE,144
RIVER,145
RIVER BANK,146
ROOMING HOUSE,147
SAVINGS AND LOAN,148
SCHOOL YARD,149
"SCHOOL, PRIVATE, BUILDING",150
"SCHOOL, PRIVATE, GROUNDS",151
"SCHOOL, PUBLIC, BUILDING",152
"SCHOOL, PUBLIC, GROUNDS",153
SEWER,154
SIDEWALK,155
SMALL RETAIL STORE,156
SPORTS ARENA/STADIUM,157
STAIRWELL,158
STREET,159
TAVERN,160
TAVERN/LIQUOR STORE,161
TAXI CAB,162
TAXICAB,163
TRAILER,164
TRUCK,165
TRUCKING TERMINAL,166
VACANT LOT,167
VACANT LOT/LAND,168
VEHICLE-COMMERCIAL,169
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,170
VEHICLE-COMMERCIAL - TROLLEY BUS,171
VEHICLE - DELIVERY TRUCK,172
VEHICLE - OTHER RIDE SERVICE,173
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",174
VEHICLE NON-COMMERCIAL,175
VESTIBULE,176
WAREHOUSE,177
WOODED AREA,178
YARD,179
YMCA,180
