DOW,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
3,19.73,159,1111,11,28,25,3
3,23,159,725,7,15,67,25
3,22.75,19,222,2,4,39,3
3,22.5,19,225,2,3,40,3
3,21,155,1113,11,28,25,30
3,22,19,223,2,4,39,3
3,23,19,733,7,17,68,3
3,21.58,19,213,2,3,38,3
3,22.15,159,912,9,11,59,19
3,21.42,141,511,5,6,49,3
3,21.5,129,533,5,9,54,7
7,16.17,66,623,6,17,69,25
3,21.23,77,423,4,10,46,34
3,22.83,155,1233,12,2,28,3
3,22.52,92,1531,15,37,25,33
3,12.92,19,421,4,7,43,4
3,20,124,1423,14,1,24,18
3,21,96,734,7,17,67,33
3,22.93,17,512,5,34,49,28
3,22.75,27,412,4,8,48,33
3,22,96,411,4,5,43,33
1,8,124,111,1,42,32,9
3,23.92,124,2023,20,48,77,30
3,23.67,19,414,4,8,43,3
3,21.73,175,1513,15,29,25,34
3,23.5,19,1034,10,25,31,3
3,22.75,19,232,2,20,40,3
3,22.55,139,2222,22,21,73,2
4,1.33,19,621,6,17,71,3
3,21.98,141,613,6,21,71,3
4,1.47,129,434,4,10,51,8
4,0.08,155,824,8,16,63,30
4,0.58,83,1731,17,31,16,7
4,0.5,65,524,5,34,53,30
3,22.75,19,312,3,20,42,7
4,0.83,155,914,9,25,34,3
4,1.25,159,1024,10,22,30,19
3,23.58,19,431,4,7,51,6
4,2,139,321,3,5,42,3
4,1.32,155,621,6,21,44,14
4,1.83,159,624,6,8,69,30
4,1,19,421,4,7,43,3
4,2.75,159,1122,11,28,26,19
4,0.25,141,1434,14,32,22,3
4,2.43,175,1412,14,35,21,1
3,12.33,152,413,4,8,47,3
4,2.5,19,312,3,20,42,3
3,23.33,139,812,8,23,64,7
3,23,159,2022,20,48,77,3
3,15,159,332,3,5,43,3
3,4,159,331,3,5,42,18
3,23.77,159,412,4,8,45,19
4,2.92,17,922,9,14,58,7
4,3,139,332,3,5,43,3
4,10,19,1524,15,37,25,2
4,3.85,159,1512,15,29,25,3
3,14.5,124,1814,18,43,7,6
4,1.5,19,324,3,5,43,4
4,2.58,19,411,4,5,43,2
4,4,78,811,8,23,56,7
4,3.57,175,733,7,17,68,25
4,2.08,92,1531,15,37,25,3
4,4.48,57,1623,16,45,15,7
3,23.58,159,924,9,12,61,30
4,3.18,140,2521,25,31,20,4
4,2.52,155,1112,11,27,23,3
4,0.15,155,1832,18,42,8,34
4,0.02,175,732,7,6,68,3
3,22.5,124,1123,11,28,27,33
3,22.25,159,912,9,11,59,1
4,4.63,19,1412,14,35,22,3
4,0.5,159,2233,22,34,75,3
3,23.33,159,215,2,3,38,3
4,2,159,1712,17,39,14,33
2,8,152,212,2,3,35,25
3,20,159,835,8,18,70,33
4,0.58,141,234,2,4,41,30
4,1,159,2525,25,30,20,7
3,17,139,122,1,42,32,2
3,17.5,159,232,2,20,40,18
3,12.33,139,414,4,7,43,3
4,5.5,19,815,8,14,57,3
2,12,139,612,6,17,71,33
3,13.75,124,1433,14,32,24,2
3,12.83,19,612,6,21,71,3
2,19.5,155,1413,14,35,22,33
3,19,129,123,1,2,32,33
4,5,159,823,8,13,65,18
4,4.87,19,911,9,12,58,4
3,10.75,156,1115,11,28,26,3
4,5.83,122,1123,11,28,27,33
3,0.02,168,1131,11,24,26,4
7,20.75,159,2535,25,30,23,7
4,5.33,143,624,6,6,69,33
5,15,139,421,4,7,43,25
4,7.08,159,831,8,18,66,19
3,9,139,624,6,6,69,4
3,12,124,624,6,8,44,9
4,7.92,124,815,8,23,62,33
3,17,124,2432,24,49,1,7
3,16,159,1214,12,27,24,7
3,21.25,159,2234,22,34,75,33
4,7,78,112,1,42,32,3
4,7.75,159,734,7,17,67,7
4,6.12,96,634,6,21,44,33
4,7.33,19,2413,24,50,2,3
5,7.5,129,413,4,7,48,7
6,3.5,101,411,4,8,43,3
2,14,129,433,4,10,55,7
3,16,159,2432,24,40,1,33
1,16,75,1834,18,42,8,9
3,19,124,1533,15,28,25,7
4,7.25,159,1622,16,45,11,33
3,15.25,122,1225,12,2,28,2
3,18.5,159,1235,12,25,31,7
3,21,159,1224,12,27,28,7
3,17.02,124,932,9,16,61,3
4,7.42,155,432,4,10,52,2
3,7.85,129,1831,18,42,8,33
3,22,139,1011,10,24,29,7
4,6.83,92,322,3,6,69,33
4,7.5,19,312,3,20,42,3
4,7,159,1723,17,39,14,33
6,3,159,1632,16,36,17,7
4,7.17,19,2514,25,30,19,2
3,0,19,624,6,8,69,33
4,5.15,19,1533,15,28,25,19
4,6.45,19,322,3,6,69,3
4,8.5,159,815,8,23,56,2
4,7.5,139,835,8,18,66,3
3,23.5,129,815,8,23,56,7
4,6.95,124,835,8,18,70,25
3,10,124,1634,16,38,15,18
3,9.5,155,1634,16,30,15,30
1,21,159,1423,14,26,24,33
4,7.5,159,2522,25,31,20,18
1,20,159,1431,14,1,22,33
7,17,159,1414,14,35,22,33
3,9,139,1921,19,47,5,9
1,16.5,75,1834,18,42,8,9
4,5.17,159,824,8,14,63,18
6,8,159,1632,16,36,17,7
3,13.5,78,1925,19,44,6,33
4,9,139,414,4,7,43,25
4,7.98,155,1532,15,28,25,2
4,8,159,1811,18,43,7,7
4,0.02,159,1532,15,28,25,7
2,15.5,96,211,2,4,35,3
3,21.58,27,1622,16,45,11,17
3,21.5,159,624,6,6,69,33
6,12,19,631,6,8,44,25
3,13.12,152,621,6,21,44,16
3,8,139,1912,19,47,3,9
4,9.9,49,624,6,6,69,33
3,21,140,1133,11,24,29,4
3,9,139,2223,22,21,71,25
4,9.5,129,2514,25,30,19,33
4,1,77,835,8,18,70,7
3,15.08,153,921,9,12,58,2
4,9.17,139,1112,11,27,23,3
4,7.92,139,512,5,34,49,3
4,9.83,155,1533,15,28,25,19
2,11,159,1813,18,43,7,33
4,7.5,152,1634,16,30,15,3
7,7.5,103,114,1,42,32,33
2,9.75,153,611,6,18,71,3
4,1.17,159,1234,12,25,31,18
3,12.33,117,1633,16,38,15,33
5,16.95,159,1135,11,2,27,34
5,20.25,159,1135,11,28,28,18
3,13,65,2515,25,37,19,30
4,8,159,1024,10,24,29,7
4,6.58,139,1124,11,2,27,19
4,7.93,153,2013,20,48,77,3
3,10.25,150,2013,20,48,77,8
3,16,153,2013,20,48,77,7
4,8.75,159,1135,11,2,27,7
4,8,152,511,5,6,49,3
4,10.5,155,1533,15,28,25,19
3,8,159,412,4,8,48,7
6,14,19,1432,14,32,22,4
7,13,141,1111,11,37,23,33
4,10.67,155,311,3,20,40,25
6,20,139,1512,15,29,25,33
4,8.67,159,324,3,5,43,25
4,7,139,831,8,18,66,3
1,8,139,1135,11,2,27,31
4,9.5,152,211,2,2,35,3
3,10.33,159,1115,11,28,26,7
4,11,124,1834,18,42,8,8
3,12,153,211,2,2,35,3
4,10.92,155,1511,15,29,25,3
4,12,124,1533,15,28,25,33
5,9,124,1834,18,42,8,9
4,11.07,17,2531,25,29,25,19
3,15.38,139,2533,25,37,25,9
3,14.5,124,2212,22,34,75,9
4,10,159,532,5,9,53,3
7,15,19,1115,11,28,26,9
4,11.33,155,1122,11,28,26,19
3,23.83,159,523,5,34,53,7
3,6.5,159,2013,20,48,77,2
4,9.75,139,511,5,9,49,7
1,11,152,423,4,7,46,3
3,16.67,155,423,4,7,46,3
4,9.83,139,511,5,9,49,7
2,21,1,1533,15,24,25,9
5,17.83,156,1432,14,1,22,33
2,9,152,2525,25,35,22,3
4,8,140,2525,25,30,22,4
4,3.5,159,2525,25,30,20,7
3,14,139,1711,17,50,13,4
6,15,19,314,3,20,42,33
3,14.5,150,713,7,15,67,33
4,10.25,19,2534,25,37,23,28
4,11.25,159,311,3,20,40,25
3,16.5,64,932,9,16,61,33
6,1,27,1924,19,44,6,33
4,8.5,139,2234,22,34,75,25
4,9.85,142,713,7,16,67,33
