Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
19.73,159,1111,11,28,25,0,0,0,0,0,0,1,3
23,159,725,7,15,67,0,0,0,0,0,0,1,25
22.75,19,222,2,4,39,0,0,0,0,0,0,1,3
22.5,19,225,2,3,40,0,0,0,0,0,0,1,3
21,155,1113,11,28,25,0,0,0,0,0,0,1,30
22,19,223,2,4,39,0,0,0,0,0,0,1,3
23,19,733,7,17,68,0,0,0,0,0,0,1,3
21.58,19,213,2,3,38,0,0,0,0,0,0,1,3
22.15,159,912,9,11,59,0,0,0,0,0,0,1,19
21.42,141,511,5,6,49,0,0,0,0,0,0,1,3
21.5,129,533,5,9,54,0,0,0,0,0,0,1,7
16.17,66,623,6,17,69,0,0,0,1,0,0,0,25
21.23,77,423,4,10,46,0,0,0,0,0,0,1,34
22.83,155,1233,12,2,28,0,0,0,0,0,0,1,3
22.52,92,1531,15,37,25,0,0,0,0,0,0,1,33
12.92,19,421,4,7,43,0,0,0,0,0,0,1,4
20,124,1423,14,1,24,0,0,0,0,0,0,1,18
21,96,734,7,17,67,0,0,0,0,0,0,1,33
22.93,17,512,5,34,49,0,0,0,0,0,0,1,28
22.75,27,412,4,8,48,0,0,0,0,0,0,1,33
22,96,411,4,5,43,0,0,0,0,0,0,1,33
8,124,111,1,42,32,0,1,0,0,0,0,0,9
23.92,124,2023,20,48,77,0,0,0,0,0,0,1,30
23.67,19,414,4,8,43,0,0,0,0,0,0,1,3
21.73,175,1513,15,29,25,0,0,0,0,0,0,1,34
23.5,19,1034,10,25,31,0,0,0,0,0,0,1,3
22.75,19,232,2,20,40,0,0,0,0,0,0,1,3
22.55,139,2222,22,21,73,0,0,0,0,0,0,1,2
1.33,19,621,6,17,71,0,0,0,0,1,0,0,3
21.98,141,613,6,21,71,0,0,0,0,0,0,1,3
1.47,129,434,4,10,51,0,0,0,0,1,0,0,8
0.08,155,824,8,16,63,0,0,0,0,1,0,0,30
0.58,83,1731,17,31,16,0,0,0,0,1,0,0,7
0.5,65,524,5,34,53,0,0,0,0,1,0,0,30
22.75,19,312,3,20,42,0,0,0,0,0,0,1,7
0.83,155,914,9,25,34,0,0,0,0,1,0,0,3
1.25,159,1024,10,22,30,0,0,0,0,1,0,0,19
23.58,19,431,4,7,51,0,0,0,0,0,0,1,6
2,139,321,3,5,42,0,0,0,0,1,0,0,3
1.32,155,621,6,21,44,0,0,0,0,1,0,0,14
1.83,159,624,6,8,69,0,0,0,0,1,0,0,30
1,19,421,4,7,43,0,0,0,0,1,0,0,3
2.75,159,1122,11,28,26,0,0,0,0,1,0,0,19
0.25,141,1434,14,32,22,0,0,0,0,1,0,0,3
2.43,175,1412,14,35,21,0,0,0,0,1,0,0,1
12.33,152,413,4,8,47,0,0,0,0,0,0,1,3
2.5,19,312,3,20,42,0,0,0,0,1,0,0,3
23.33,139,812,8,23,64,0,0,0,0,0,0,1,7
23,159,2022,20,48,77,0,0,0,0,0,0,1,3
15,159,332,3,5,43,0,0,0,0,0,0,1,3
4,159,331,3,5,42,0,0,0,0,0,0,1,18
23.77,159,412,4,8,45,0,0,0,0,0,0,1,19
2.92,17,922,9,14,58,0,0,0,0,1,0,0,7
3,139,332,3,5,43,0,0,0,0,1,0,0,3
10,19,1524,15,37,25,0,0,0,0,1,0,0,2
3.85,159,1512,15,29,25,0,0,0,0,1,0,0,3
14.5,124,1814,18,43,7,0,0,0,0,0,0,1,6
1.5,19,324,3,5,43,0,0,0,0,1,0,0,4
2.58,19,411,4,5,43,0,0,0,0,1,0,0,2
4,78,811,8,23,56,0,0,0,0,1,0,0,7
3.57,175,733,7,17,68,0,0,0,0,1,0,0,25
2.08,92,1531,15,37,25,0,0,0,0,1,0,0,3
4.48,57,1623,16,45,15,0,0,0,0,1,0,0,7
23.58,159,924,9,12,61,0,0,0,0,0,0,1,30
3.18,140,2521,25,31,20,0,0,0,0,1,0,0,4
2.52,155,1112,11,27,23,0,0,0,0,1,0,0,3
0.15,155,1832,18,42,8,0,0,0,0,1,0,0,34
0.02,175,732,7,6,68,0,0,0,0,1,0,0,3
22.5,124,1123,11,28,27,0,0,0,0,0,0,1,33
22.25,159,912,9,11,59,0,0,0,0,0,0,1,1
4.63,19,1412,14,35,22,0,0,0,0,1,0,0,3
0.5,159,2233,22,34,75,0,0,0,0,1,0,0,3
23.33,159,215,2,3,38,0,0,0,0,0,0,1,3
2,159,1712,17,39,14,0,0,0,0,1,0,0,33
8,152,212,2,3,35,0,0,0,0,0,1,0,25
