Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/18/2015 07:44:00 PM,,159,1111,11,28,25,3
03/18/2015 11:00:00 PM,,159,725,7,15,67,25
03/18/2015 10:45:00 PM,,19,222,2,4,39,3
03/18/2015 10:30:00 PM,,19,225,2,3,40,3
03/18/2015 09:00:00 PM,,155,1113,11,28,25,30
03/18/2015 10:00:00 PM,,19,223,2,4,39,3
03/18/2015 11:00:00 PM,,19,733,7,17,68,3
03/18/2015 09:35:00 PM,,19,213,2,3,38,3
03/18/2015 10:09:00 PM,,159,912,9,11,59,19
03/18/2015 09:25:00 PM,,141,511,5,6,49,3
03/18/2015 09:30:00 PM,,129,533,5,9,54,7
03/15/2015 04:10:00 PM,,66,623,6,17,69,25
03/18/2015 09:14:00 PM,,77,423,4,10,46,34
03/18/2015 10:50:00 PM,,155,1233,12,2,28,3
03/18/2015 10:31:00 PM,,92,1531,15,37,25,33
03/18/2015 12:55:00 PM,,19,421,4,7,43,4
03/18/2015 08:00:00 PM,,124,1423,14,1,24,18
03/18/2015 09:00:00 PM,,96,734,7,17,67,33
03/18/2015 10:56:00 PM,,17,512,5,34,49,28
03/18/2015 10:45:00 PM,,27,412,4,8,48,33
03/18/2015 10:00:00 PM,,96,411,4,5,43,33
09/01/2014 08:00:00 AM,,124,111,1,42,32,9
03/18/2015 11:55:00 PM,,124,2023,20,48,77,30
03/18/2015 11:40:00 PM,,19,414,4,8,43,3
03/18/2015 09:44:00 PM,,175,1513,15,29,25,34
03/18/2015 11:30:00 PM,,19,1034,10,25,31,3
03/18/2015 10:45:00 PM,,19,232,2,20,40,3
03/18/2015 10:33:00 PM,,139,2222,22,21,73,2
03/19/2015 01:20:00 AM,,19,621,6,17,71,3
03/18/2015 09:59:00 PM,,141,613,6,21,71,3
03/19/2015 01:28:00 AM,,129,434,4,10,51,8
03/19/2015 12:05:00 AM,,155,824,8,16,63,30
03/19/2015 12:35:00 AM,,83,1731,17,31,16,7
03/19/2015 12:30:00 AM,,65,524,5,34,53,30
03/18/2015 10:45:00 PM,,19,312,3,20,42,7
03/19/2015 12:50:00 AM,,155,914,9,25,34,3
03/19/2015 01:15:00 AM,,159,1024,10,22,30,19
03/18/2015 11:35:00 PM,,19,431,4,7,51,6
03/19/2015 02:00:00 AM,,139,321,3,5,42,3
03/19/2015 01:19:00 AM,,155,621,6,21,44,14
03/19/2015 01:50:00 AM,,159,624,6,8,69,30
03/19/2015 01:00:00 AM,,19,421,4,7,43,3
03/19/2015 02:45:00 AM,,159,1122,11,28,26,19
03/19/2015 12:15:00 AM,,141,1434,14,32,22,3
03/19/2015 02:26:00 AM,,175,1412,14,35,21,1
03/18/2015 12:20:00 PM,,152,413,4,8,47,3
03/19/2015 02:30:00 AM,,19,312,3,20,42,3
03/18/2015 11:20:00 PM,,139,812,8,23,64,7
03/18/2015 11:00:00 PM,,159,2022,20,48,77,3
03/18/2015 03:00:00 PM,,159,332,3,5,43,3
